"Fuse","Plea","Atti","Comm"
"High","High","High","High"
"Med","High","High","Med"
"High","Med","High","High"
"Low","Med","High","Low"
"High","Med","Med","Med"
"High","Med","High","Med"
"High","High","High","High"
"High","High","High","High"
"High","Med","Med","Med"
"High","High","High","High"
"High","High","High","High"
"High","High","High","High"
"Med","High","High","Med"
"High","Med","High","Med"
"High","High","High","High"
"Med","Med","Med","Med"
"High","Med","Med","Med"
"Med","High","Med","High"
"Med","Med","Med","Med"
"Med","High","Med","High"
"High","Med","Med","Med"
"High","Med","Med","High"
"Med","Med","Med","Med"
"Med","Low","Low","Low"
"High","Med","Med","Med"
"Med","Med","High","Med"
"High","Med","Med","Med"
"High","High","Med","High"
"High","Med","High","Med"
"High","Med","Med","Med"
"Med","Med","Med","Med"
"Med","High","Med","High"
"High","High","High","Med"
"High","Med","Med","High"
"High","Med","High","Med"
"High","High","High","High"
"Med","Med","Med","Med"
"High","Med","High","Med"
"High","High","Med","High"
"Med","Med","Med","Med"
"Med","Med","Med","Med"
"High","Med","Med","Med"
"High","Med","Med","Med"
"High","Med","Med","Med"
"High","Med","Med","Med"
"High","High","High","High"
"High","High","High","High"
"High","High","High","High"
"Med","Med","Med","Med"
"High","High","High","High"
"Med","Med","Med","Med"
"Med","High","Med","High"
"High","High","High","High"
"Med","Med","High","Med"
"High","High","High","Med"
"High","High","High","Med"
"Med","High","Med","High"
"High","Med","Med","Med"
"High","Med","High","Med"
"High","High","High","High"
"Med","High","High","High"
"High","Med","Med","Med"
"High","Med","Med","Med"
"Low","Med","High","Low"
"High","High","High","High"
"High","High","High","High"
"High","Med","High","Med"
"Low","Med","Med","Med"
"High","Med","Med","Med"
"High","High","High","High"
"High","High","High","High"
"Med","Med","Med","Med"
"Med","High","High","Med"
"High","Med","High","Med"
"High","Med","High","Med"
"High","High","High","High"
"High","Med","Med","Med"
"High","Med","High","Med"
"High","High","High","High"
"Med","Med","Med","Med"
"Med","High","Med","Med"
"High","Med","High","Med"
"High","Med","High","High"
"High","High","High","High"
"High","Med","High","Med"
"Med","Med","High","Med"
"High","Med","Med","High"
"High","Med","High","High"
"Med","Med","Med","Med"
"Low","Med","High","Low"
"High","Med","High","Med"
"High","Med","High","Med"
"High","High","High","High"
"High","High","High","High"
"Med","Med","Med","Med"
"High","Med","Med","Med"
"High","Med","High","Med"
"High","Med","High","Med"
"High","Med","Med","Med"
"High","Med","High","Med"
"High","High","High","High"
"High","High","High","High"
"Med","Med","High","Med"
"High","Med","High","Med"
"High","Med","High","Med"
"Med","High","High","High"
"High","Med","Med","High"
"High","Med","Med","Med"
"High","Med","Med","High"
"Low","High","Med","Med"
"High","Med","Med","Med"
"High","Med","High","High"
"High","Med","High","Med"
"High","High","High","Med"
"High","Med","High","Med"
"High","High","High","High"
"Med","High","Med","Med"
"High","Med","High","High"
"High","Med","High","Med"
"High","Med","High","Med"
"High","High","High","High"
"High","Med","Med","High"
"High","Med","High","Med"
"Med","Med","High","Med"
"Med","High","High","Med"
"High","High","High","High"
