V1;V2;V3;V4
1;4;5;4
5;1;1;2
4;1;2;1
2;5;4;5
1;5;5;5
1;5;5;NA
5;NA;2;NA
1;1;NA;NA
4;2;5;NA
1;4;5;4
5;1;1;2
4;1;2;1
2;5;4;5
NA;5;5;5
NA;4;5;4
5;1;1;2
4;1;2;1
NA;5;4;5
1;5;5;5
1;5;5;NA
5;NA;2;NA
1;1;NA;NA
4;2;5;NA
NA;NA;5;4
5;1;1;2
4;1;2;1
2;NA;NA;5
1;5;5;5
1;5;5;NA
5;NA;2;NA
1;1;NA;NA
4;2;5;NA
1;1;1;2
3;NA;1;1
2;2;2;2
5;2;1;1
5;3;2;5
1;2;2;NA
1;2;1;5
1;1;1;2
3;2;1;1
2;NA;2;2
5;2;1;1
5;3;2;5
1;2;2;2
1;2;1;5
1;1;1;2
3;2;1;1
2;2;2;2
5;2;1;1
5;3;2;5
1;2;2;2
1;2;1;5
NA;5;4;5
1;5;5;5
1;5;NA;5
5;NA;NA;2
1;1;NA;NA
NA;5;5;4
1;5;5;5
1;5;NA;5
5;NA;NA;2
1;1;NA;NA
NA;5;5;4
1;5;5;5
1;5;NA;5
5;NA;NA;2
1;1;NA;NA
5;2;3;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
1;1;5;5
