IDnum,Buy,Income,Sex,Mailed,Age,Marital Status,Occupation,Education Level,Geographic Location,Online Behavior,Device Usage,Social Media Activity,Loyalty Program Membership,Previous Interactions with Ads,Shopping Preferences,Life Events,Frequency of Purchase,Average Transaction Value,Product Preferences
804,No,60k-79k,Male,No,65+,Single,Blue-Collar,High School,Rural,Medium,Mobile,Medium,Non-Member,Clicked,In-store,None,Frequent,50-99,Home & Garden
1458,No,180k-200k,Female,No,55-64,Single,Blue-Collar,Bachelor,Urban,Low,Tablet,Medium,Non-Member,Clicked,Online,None,Frequent,450-500,Electronics
921,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Low,Mobile,Low,Non-Member,Clicked,In-store,Moving,Occasional,50-99,Health & Beauty
4823,Yes,140k-159k,Female,Yes,55-64,Married,Blue-Collar,Bachelor,Urban,Medium,Mobile,Low,Member,Not Shown,Online,Childbirth,Rare,450-500,Electronics
3923,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Medium,Tablet,High,Non-Member,Clicked,In-store,Moving,Frequent,50-99,Home & Garden
4642,No,80k-99k,Female,No,45-54,Single,White-Collar,Graduate,Urban,High,Mobile,Low,Member,Ignored,Online,Marriage,Occasional,200-249,Health & Beauty
3490,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,Low,Desktop,Medium,Non-Member,Ignored,In-store,None,Frequent,10-49,Home & Garden
109,No,180k-200k,Male,No,35-44,Married,Blue-Collar,Graduate,Rural,Medium,Mobile,Medium,Member,Clicked,Online,Marriage,Frequent,300-349,Electronics
4916,Yes,140k-159k,Female,No,55-64,Married,Blue-Collar,Bachelor,Urban,High,Desktop,Medium,Non-Member,Clicked,Online,Childbirth,Occasional,300-349,Home & Garden
224,Yes,100k-119k,Male,Yes,55-64,Married,White-Collar,Bachelor,Suburban,Medium,Mobile,Medium,Member,Clicked,Online,Childbirth,Occasional,300-349,Health & Beauty
800,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Low,Desktop,Medium,Non-Member,Clicked,In-store,Moving,Occasional,50-99,Electronics
2447,No,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,Medium,Tablet,High,Non-Member,Clicked,In-store,Childbirth,Rare,10-49,Home & Garden
2978,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Medium,Tablet,High,Non-Member,Clicked,In-store,Marriage,Occasional,10-49,Grocery
2127,Yes,60k-79k,Male,No,18-24,Single,Blue-Collar,High School,Rural,Medium,Tablet,Low,Non-Member,Ignored,In-store,Moving,Frequent,10-49,Grocery
2776,No,120k-139k,Male,Yes,55-64,Married,Blue-Collar,Bachelor,Suburban,Low,Tablet,Low,Member,Not Shown,Online,Marriage,Rare,400-449,Health & Beauty
3903,No,60k-79k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Medium,Mobile,Low,Non-Member,Not Shown,In-store,Childbirth,Occasional,50-99,Electronics
4511,Yes,100k-119k,Female,Yes,35-44,Married,White-Collar,Bachelor,Suburban,Medium,Tablet,Low,Member,Ignored,In-store,None,Occasional,400-449,Home & Garden
4561,Yes,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Rural,Medium,Mobile,High,Non-Member,Ignored,In-store,Childbirth,Occasional,10-49,Electronics
987,No,120k-139k,Male,No,45-54,Married,White-Collar,Graduate,Rural,Medium,Tablet,High,Non-Member,Clicked,Online,Marriage,Frequent,250-299,Electronics
2430,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Low,Desktop,Medium,Non-Member,Not Shown,In-store,Marriage,Rare,10-49,Electronics
180,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,Low,Desktop,Medium,Non-Member,Ignored,In-store,Marriage,Occasional,10-49,Home & Garden
4652,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Medium,Tablet,High,Non-Member,Ignored,In-store,None,Rare,10-49,Health & Beauty
672,Yes,80k-99k,Male,No,55-64,Married,Blue-Collar,Graduate,Urban,High,Tablet,Low,Non-Member,Not Shown,Online,Childbirth,Rare,400-449,Grocery
1682,No,120k-139k,Male,No,45-54,Single,Blue-Collar,Graduate,Rural,Low,Mobile,Low,Member,Ignored,Online,Moving,Frequent,350-399,Electronics
3105,No,20k-39k,Male,No,65+,Single,Blue-Collar,High School,Suburban,Low,Mobile,High,Non-Member,Not Shown,In-store,Marriage,Frequent,50-99,Electronics
955,Yes,120k-139k,Male,Yes,35-44,Single,Blue-Collar,Bachelor,Suburban,Medium,Tablet,High,Member,Clicked,Online,None,Frequent,150-199,Electronics
1036,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,Medium,Desktop,Medium,Non-Member,Not Shown,In-store,Moving,Rare,50-99,Grocery
